ICD_Start,ICD_End,Cause,Level
B07,B07.9,Garbage Code (GBD Level 1),
B30,B30.9,Garbage Code (GBD Level 1),
B35,B36.9,Garbage Code (GBD Level 1),
B85,B85.4,Garbage Code (GBD Level 1),
B87,B88.9,Garbage Code (GBD Level 1),
B94.0,B94.0,Garbage Code (GBD Level 1),
D50,D50.0,Garbage Code (GBD Level 1),
D50.9,D50.9,Garbage Code (GBD Level 1),
D62,D63.0,Garbage Code (GBD Level 1),
D63.8,D64,Garbage Code (GBD Level 1),
D64.1,D65.9,Garbage Code (GBD Level 1),
D68,D68,Garbage Code (GBD Level 1),
D69.9,D69.9,Garbage Code (GBD Level 1),
E15,E15,Garbage Code (GBD Level 1),
E16,E16,Garbage Code (GBD Level 1),
E50,E50.9,Garbage Code (GBD Level 1),
E64.1,E64.1,Garbage Code (GBD Level 1),
E85.3,E87.6,Garbage Code (GBD Level 1),
E87.8,E87.9,Garbage Code (GBD Level 1),
F06.2,F06.4,Garbage Code (GBD Level 1),
F07.2,F07.2,Garbage Code (GBD Level 1),
F09,F09.9,Garbage Code (GBD Level 1),
F19,F23.9,Garbage Code (GBD Level 1),
F25,F49,Garbage Code (GBD Level 1),
F51,F99.0,Garbage Code (GBD Level 1),
G06,G08.0,Garbage Code (GBD Level 1),
G32,G32.8,Garbage Code (GBD Level 1),
G43,G44.2,Garbage Code (GBD Level 1),
G44.4,G44.8,Garbage Code (GBD Level 1),
G47,G47.2,Garbage Code (GBD Level 1),
G47.4,G47.9,Garbage Code (GBD Level 1),
G50,G60.9,Garbage Code (GBD Level 1),
G62,G62.0,Garbage Code (GBD Level 1),
G62.2,G65.2,Garbage Code (GBD Level 1),
G80,G83.9,Garbage Code (GBD Level 1),
G89,G89.4,Garbage Code (GBD Level 1),
G91,G91.2,Garbage Code (GBD Level 1),
G91.4,G93,Garbage Code (GBD Level 1),
G93.1,G93.2,Garbage Code (GBD Level 1),
G93.4,G93.6,Garbage Code (GBD Level 1),
G94.0,G94.8,Garbage Code (GBD Level 1),
G99,H05,Garbage Code (GBD Level 1),
H05.2,H69.9,Garbage Code (GBD Level 1),
H71,H99,Garbage Code (GBD Level 1),
I26,I26.9,Garbage Code (GBD Level 1),
I31.2,I31.4,Garbage Code (GBD Level 1),
I46,I46.9,Garbage Code (GBD Level 1),
I50.0,I50.4,Garbage Code (GBD Level 1),
I76,I76,Garbage Code (GBD Level 1),
I95,I95.1,Garbage Code (GBD Level 1),
I95.8,I95.9,Garbage Code (GBD Level 1),
J69,J69.9,Garbage Code (GBD Level 1),
J80,J80.9,Garbage Code (GBD Level 1),
J81.0,J81.0,Garbage Code (GBD Level 1),
J85,J85.3,Garbage Code (GBD Level 1),
J86,J86.9,Garbage Code (GBD Level 1),
J93,J93.1,Garbage Code (GBD Level 1),
J93.8,J93.9,Garbage Code (GBD Level 1),
J94.2,J94.2,Garbage Code (GBD Level 1),
J96,J96.9,Garbage Code (GBD Level 1),
J98.1,J98.3,Garbage Code (GBD Level 1),
K00,K19,Garbage Code (GBD Level 1),
K30,K30,Garbage Code (GBD Level 1),
K65,K66.1,Garbage Code (GBD Level 1),
K66.9,K66.9,Garbage Code (GBD Level 1),
K68.1,K68.9,Garbage Code (GBD Level 1),
K71,K71.6,Garbage Code (GBD Level 1),
K71.8,K72.9,Garbage Code (GBD Level 1),
K75.0,K75.0,Garbage Code (GBD Level 1),
L20,L30.9,Garbage Code (GBD Level 1),
L40,L50.9,Garbage Code (GBD Level 1),
L52,L54.8,Garbage Code (GBD Level 1),
L56,L56.2,Garbage Code (GBD Level 1),
L56.4,L56.5,Garbage Code (GBD Level 1),
L57,L57.9,Garbage Code (GBD Level 1),
L59,L68.9,Garbage Code (GBD Level 1),
L70,L76.8,Garbage Code (GBD Level 1),
L80,L87.9,Garbage Code (GBD Level 1),
L90,L92.9,Garbage Code (GBD Level 1),
L94,L96,Garbage Code (GBD Level 1),
L98.5,L99.8,Garbage Code (GBD Level 1),
M04,M04,Garbage Code (GBD Level 1),
M10,M12.0,Garbage Code (GBD Level 1),
M12.2,M29,Garbage Code (GBD Level 1),
M37,M39,Garbage Code (GBD Level 1),
M43.2,M49,Garbage Code (GBD Level 1),
M49.2,M64,Garbage Code (GBD Level 1),
M65.1,M71,Garbage Code (GBD Level 1),
M71.2,M72.4,Garbage Code (GBD Level 1),
M72.8,M73,Garbage Code (GBD Level 1),
M73.8,M79.9,Garbage Code (GBD Level 1),
M83,M86.2,Garbage Code (GBD Level 1),
M86.5,M86.9,Garbage Code (GBD Level 1),
M87.2,M87.9,Garbage Code (GBD Level 1),
M89.1,M89.4,Garbage Code (GBD Level 1),
M90,M99.9,Garbage Code (GBD Level 1),
N17,N17.9,Garbage Code (GBD Level 1),
N19,N19.9,Garbage Code (GBD Level 1),
N32.1,N32.2,Garbage Code (GBD Level 1),
N32.8,N33.8,Garbage Code (GBD Level 1),
N35,N35.9,Garbage Code (GBD Level 1),
N37,N37.8,Garbage Code (GBD Level 1),
N39.3,N39.8,Garbage Code (GBD Level 1),
N42,N43.4,Garbage Code (GBD Level 1),
N44.1,N44.8,Garbage Code (GBD Level 1),
N46,N48.9,Garbage Code (GBD Level 1),
N50,N53.9,Garbage Code (GBD Level 1),
N61,N64.9,Garbage Code (GBD Level 1),
N82,N82.9,Garbage Code (GBD Level 1),
N91,N91.5,Garbage Code (GBD Level 1),
N95,N95,Garbage Code (GBD Level 1),
N95.1,N95.9,Garbage Code (GBD Level 1),
N97,N97.9,Garbage Code (GBD Level 1),
R02,R02.9,Garbage Code (GBD Level 1),
R03.1,R03.1,Garbage Code (GBD Level 1),
R07.0,R07.0,Garbage Code (GBD Level 1),
R08,R09,Garbage Code (GBD Level 1),
R09.3,R09.3,Garbage Code (GBD Level 1),
R11,R12.0,Garbage Code (GBD Level 1),
R14,R19.6,Garbage Code (GBD Level 1),
R19.8,R23,Garbage Code (GBD Level 1),
R23.1,R30.9,Garbage Code (GBD Level 1),
R32,R50.1,Garbage Code (GBD Level 1),
R50.8,R57.9,Garbage Code (GBD Level 1),
R58.0,R72.9,Garbage Code (GBD Level 1),
R74,R78,Garbage Code (GBD Level 1),
R78.6,R94.8,Garbage Code (GBD Level 1),
R96,R99.9,Garbage Code (GBD Level 1),
U05,U05,Garbage Code (GBD Level 1),
U07,U81,Garbage Code (GBD Level 1),
U89.9,U99,Garbage Code (GBD Level 1),
X40,X44.9,Garbage Code (GBD Level 1),
X46,X46.9,Garbage Code (GBD Level 1),
X49,X49.9,Garbage Code (GBD Level 1),
Y10,Y14.9,Garbage Code (GBD Level 1),
Y16,Y19.9,Garbage Code (GBD Level 1),
Z00,Z15.8,Garbage Code (GBD Level 1),
Z17,unsp.,Garbage Code (GBD Level 1),
A14.9,A14.9,Garbage Code (GBD Level 2),
A29,A30.9,Garbage Code (GBD Level 2),
A45,A45.9,Garbage Code (GBD Level 2),
A47,A48,Garbage Code (GBD Level 2),
A48.8,A49,Garbage Code (GBD Level 2),
A49.3,A49.9,Garbage Code (GBD Level 2),
A61,A62,Garbage Code (GBD Level 2),
A72,A73,Garbage Code (GBD Level 2),
A76,A76,Garbage Code (GBD Level 2),
A97,A97,Garbage Code (GBD Level 2),
B08,B09,Garbage Code (GBD Level 2),
B11,B14,Garbage Code (GBD Level 2),
B28,B29,Garbage Code (GBD Level 2),
B31,B32.4,Garbage Code (GBD Level 2),
B34,B34.9,Garbage Code (GBD Level 2),
B61,B62,Garbage Code (GBD Level 2),
B68,B68.9,Garbage Code (GBD Level 2),
B73,B74.2,Garbage Code (GBD Level 2),
B76,B76.9,Garbage Code (GBD Level 2),
B78,B81.8,Garbage Code (GBD Level 2),
B84,B84,Garbage Code (GBD Level 2),
B92,B94,Garbage Code (GBD Level 2),
B94.8,B94.9,Garbage Code (GBD Level 2),
B95.6,B97.3,Garbage Code (GBD Level 2),
B97.7,B99.9,Garbage Code (GBD Level 2),
D59,D59,Garbage Code (GBD Level 2),
D59.4,D59.4,Garbage Code (GBD Level 2),
D59.8,D59.9,Garbage Code (GBD Level 2),
F17,F17.9,Garbage Code (GBD Level 2),
G44.3,G44.3,Garbage Code (GBD Level 2),
G91.3,G91.3,Garbage Code (GBD Level 2),
G93.0,G93.0,Garbage Code (GBD Level 2),
G93.3,G93.3,Garbage Code (GBD Level 2),
I10,I10.9,Garbage Code (GBD Level 2),
I15,I15.9,Garbage Code (GBD Level 2),
I27,I27,Garbage Code (GBD Level 2),
I27.8,I27.9,Garbage Code (GBD Level 2),
I50,I50,Garbage Code (GBD Level 2),
I50.8,I50.9,Garbage Code (GBD Level 2),
I67.4,I67.4,Garbage Code (GBD Level 2),
I70,I70.1,Garbage Code (GBD Level 2),
I70.9,I70.9,Garbage Code (GBD Level 2),
I74,I75.8,Garbage Code (GBD Level 2),
J81,J81,Garbage Code (GBD Level 2),
J81.1,J81.1,Garbage Code (GBD Level 2),
J90,J90.0,Garbage Code (GBD Level 2),
J94,J94.1,Garbage Code (GBD Level 2),
J94.8,J94.9,Garbage Code (GBD Level 2),
K92.0,K92.2,Garbage Code (GBD Level 2),
N70,N71.9,Garbage Code (GBD Level 2),
N73,N74.0,Garbage Code (GBD Level 2),
N74.2,N74.8,Garbage Code (GBD Level 2),
R03,R03.0,Garbage Code (GBD Level 2),
R04,R06.9,Garbage Code (GBD Level 2),
R09.0,R09.2,Garbage Code (GBD Level 2),
R09.8,R10.9,Garbage Code (GBD Level 2),
R13,R13.9,Garbage Code (GBD Level 2),
R23.0,R23.0,Garbage Code (GBD Level 2),
R58,R58,Garbage Code (GBD Level 2),
S00,T98.3,Garbage Code (GBD Level 2),
W47,W48,Garbage Code (GBD Level 2),
W63,W63,Garbage Code (GBD Level 2),
W71,W72,Garbage Code (GBD Level 2),
W76,W76.9,Garbage Code (GBD Level 2),
W82,W82,Garbage Code (GBD Level 2),
W95,W97,Garbage Code (GBD Level 2),
W98,W98,Garbage Code (GBD Level 2),
X07,X07,Garbage Code (GBD Level 2),
X55,X56,Garbage Code (GBD Level 2),
X59,X59.9,Garbage Code (GBD Level 2),
Y20,Y34.9,Garbage Code (GBD Level 2),
Y86,Y87,Garbage Code (GBD Level 2),
Y87.2,Y87.2,Garbage Code (GBD Level 2),
Y89,Y89,Garbage Code (GBD Level 2),
Y89.9,Y99.9,Garbage Code (GBD Level 2),
A01,A01,Garbage Code (GBD Level 3),
A31,A31.9,Garbage Code (GBD Level 3),
A42,A44.9,Garbage Code (GBD Level 3),
A49.2,A49.2,Garbage Code (GBD Level 3),
A64,A64.0,Garbage Code (GBD Level 3),
A99,A99.0,Garbage Code (GBD Level 3),
B17,B17,Garbage Code (GBD Level 3),
B17.1,B17.1,Garbage Code (GBD Level 3),
B17.8,B17.9,Garbage Code (GBD Level 3),
B19,B19.0,Garbage Code (GBD Level 3),
B19.2,B19.9,Garbage Code (GBD Level 3),
B37,B46.9,Garbage Code (GBD Level 3),
B49,B49.9,Garbage Code (GBD Level 3),
B55,B55,Garbage Code (GBD Level 3),
B55.1,B55.9,Garbage Code (GBD Level 3),
B58,B59.9,Garbage Code (GBD Level 3),
B89,B89,Garbage Code (GBD Level 3),
B94.2,B94.2,Garbage Code (GBD Level 3),
C14,C14.9,Garbage Code (GBD Level 3),
C22.9,C22.9,Garbage Code (GBD Level 3),
C26,C29,Garbage Code (GBD Level 3),
C35,C36,Garbage Code (GBD Level 3),
C39,C39.9,Garbage Code (GBD Level 3),
C42,C42,Garbage Code (GBD Level 3),
C46,C46.9,Garbage Code (GBD Level 3),
C55,C55.9,Garbage Code (GBD Level 3),
C57.9,C57.9,Garbage Code (GBD Level 3),
C59,C59,Garbage Code (GBD Level 3),
C63.9,C63.9,Garbage Code (GBD Level 3),
C68,C68,Garbage Code (GBD Level 3),
C68.9,C68.9,Garbage Code (GBD Level 3),
C74,C74.9,Garbage Code (GBD Level 3),
C75.9,C80.9,Garbage Code (GBD Level 3),
C87,C87,Garbage Code (GBD Level 3),
C97,D00.0,Garbage Code (GBD Level 3),
D01,D01,Garbage Code (GBD Level 3),
D01.4,D02,Garbage Code (GBD Level 3),
D02.4,D02.9,Garbage Code (GBD Level 3),
D07,D07,Garbage Code (GBD Level 3),
D07.3,D07.3,Garbage Code (GBD Level 3),
D07.6,D09,Garbage Code (GBD Level 3),
D09.1,D09.1,Garbage Code (GBD Level 3),
D09.7,D09.7,Garbage Code (GBD Level 3),
D09.9,D10,Garbage Code (GBD Level 3),
D10.9,D10.9,Garbage Code (GBD Level 3),
D13,D13,Garbage Code (GBD Level 3),
D13.9,D14,Garbage Code (GBD Level 3),
D14.4,D14.4,Garbage Code (GBD Level 3),
D17,D21.9,Garbage Code (GBD Level 3),
D28,D28,Garbage Code (GBD Level 3),
D28.9,D29,Garbage Code (GBD Level 3),
D29.9,D30,Garbage Code (GBD Level 3),
D30.9,D30.9,Garbage Code (GBD Level 3),
D36.0,D36.0,Garbage Code (GBD Level 3),
D36.9,D37.0,Garbage Code (GBD Level 3),
D37.6,D38,Garbage Code (GBD Level 3),
D38.6,D39.0,Garbage Code (GBD Level 3),
D39.7,D39.7,Garbage Code (GBD Level 3),
D39.9,D40,Garbage Code (GBD Level 3),
D40.9,D41,Garbage Code (GBD Level 3),
D41.9,D41.9,Garbage Code (GBD Level 3),
D44,D44,Garbage Code (GBD Level 3),
D44.9,D44.9,Garbage Code (GBD Level 3),
D48,D48,Garbage Code (GBD Level 3),
D48.7,D49.1,Garbage Code (GBD Level 3),
D49.5,D49.5,Garbage Code (GBD Level 3),
D49.7,D49.9,Garbage Code (GBD Level 3),
D54,D54,Garbage Code (GBD Level 3),
D75.9,D75.9,Garbage Code (GBD Level 3),
D79,D85,Garbage Code (GBD Level 3),
D87,D88,Garbage Code (GBD Level 3),
D89.8,D99,Garbage Code (GBD Level 3),
E07.8,E08.9,Garbage Code (GBD Level 3),
E17,E19,Garbage Code (GBD Level 3),
E34.0,E34.0,Garbage Code (GBD Level 3),
E34.9,E35.8,Garbage Code (GBD Level 3),
E37,E39,Garbage Code (GBD Level 3),
E47,E49.,Garbage Code (GBD Level 3),
E62,E62,Garbage Code (GBD Level 3),
E69,E69,Garbage Code (GBD Level 3),
E87.7,E87.7,Garbage Code (GBD Level 3),
E90,E998,Garbage Code (GBD Level 3),
F04,F06.1,Garbage Code (GBD Level 3),
F06.5,F07.0,Garbage Code (GBD Level 3),
F07.8,F08,Garbage Code (GBD Level 3),
F50,F50,Garbage Code (GBD Level 3),
F50.8,F50.9,Garbage Code (GBD Level 3),
G09,G09.9,Garbage Code (GBD Level 3),
G15,G19,Garbage Code (GBD Level 3),
G21,G21,Garbage Code (GBD Level 3),
G21.2,G21.2,Garbage Code (GBD Level 3),
G21.4,G22.0,Garbage Code (GBD Level 3),
G27,G29,Garbage Code (GBD Level 3),
G33,G34,Garbage Code (GBD Level 3),
G38,G39.,Garbage Code (GBD Level 3),
G42,G42,Garbage Code (GBD Level 3),
G48,G49,Garbage Code (GBD Level 3),
G66,G69,Garbage Code (GBD Level 3),
G74,G79,Garbage Code (GBD Level 3),
G84,G88,Garbage Code (GBD Level 3),
G93.8,G94,Garbage Code (GBD Level 3),
G96,G96.9,Garbage Code (GBD Level 3),
G98,G98.9,Garbage Code (GBD Level 3),
I00.0,I00.0,Garbage Code (GBD Level 3),
I03,I04.,Garbage Code (GBD Level 3),
I14,I14.,Garbage Code (GBD Level 3),
I16,I19,Garbage Code (GBD Level 3),
I29,I29.9,Garbage Code (GBD Level 3),
I44,I45.9,Garbage Code (GBD Level 3),
I49,I49.9,Garbage Code (GBD Level 3),
I51,I51,Garbage Code (GBD Level 3),
I51.6,I59,Garbage Code (GBD Level 3),
I90,I94,Garbage Code (GBD Level 3),
I96,I96.9,Garbage Code (GBD Level 3),
I98.4,I98.8,Garbage Code (GBD Level 3),
I99,ID5.9,Garbage Code (GBD Level 3),
J02.9,J02.9,Garbage Code (GBD Level 3),
J03.9,J03.9,Garbage Code (GBD Level 3),
J04.3,J04.3,Garbage Code (GBD Level 3),
J06,J06,Garbage Code (GBD Level 3),
J06.9,J06.9,Garbage Code (GBD Level 3),
J40,J40.9,Garbage Code (GBD Level 3),
J47,J59,Garbage Code (GBD Level 3),
J71,J79,Garbage Code (GBD Level 3),
J81.9,J81.9,Garbage Code (GBD Level 3),
J83,J83,Garbage Code (GBD Level 3),
J85.9,J85.9,Garbage Code (GBD Level 3),
J87,J89,Garbage Code (GBD Level 3),
J90.9,J90.9,Garbage Code (GBD Level 3),
J93.6,J93.6,Garbage Code (GBD Level 3),
J97,J98.0,Garbage Code (GBD Level 3),
J98.4,J99.8,Garbage Code (GBD Level 3),
K21,K21.9,Garbage Code (GBD Level 3),
K22.7,K22.7,Garbage Code (GBD Level 3),
K31.9,K34,Garbage Code (GBD Level 3),
K39,K39,Garbage Code (GBD Level 3),
K47,K49,Garbage Code (GBD Level 3),
K53,K54,Garbage Code (GBD Level 3),
K63,K63.4,Garbage Code (GBD Level 3),
K63.8,K63.9,Garbage Code (GBD Level 3),
K69,K69,Garbage Code (GBD Level 3),
K70.4,K70.9,Garbage Code (GBD Level 3),
K78,K79,Garbage Code (GBD Level 3),
K84,K84,Garbage Code (GBD Level 3),
K87,K89,Garbage Code (GBD Level 3),
K92,K92,Garbage Code (GBD Level 3),
K92.9,K93,Garbage Code (GBD Level 3),
K96,K99,Garbage Code (GBD Level 3),
L06,L07,Garbage Code (GBD Level 3),
L09,L09,Garbage Code (GBD Level 3),
L15,L19,Garbage Code (GBD Level 3),
L31,L39,Garbage Code (GBD Level 3),
L69,L69,Garbage Code (GBD Level 3),
L77,L79,Garbage Code (GBD Level 3),
N09,N09,Garbage Code (GBD Level 3),
N13,N13.5,Garbage Code (GBD Level 3),
N13.7,N13.9,Garbage Code (GBD Level 3),
N24,N24,Garbage Code (GBD Level 3),
N28.8,N28.9,Garbage Code (GBD Level 3),
N38,N38,Garbage Code (GBD Level 3),
N39.9,N40.9,Garbage Code (GBD Level 3),
N54,N59,Garbage Code (GBD Level 3),
N66,N69,Garbage Code (GBD Level 3),
N78,N79,Garbage Code (GBD Level 3),
N84,N84,Garbage Code (GBD Level 3),
N84.2,N86,Garbage Code (GBD Level 3),
N88,N90.9,Garbage Code (GBD Level 3),
N92,N94.9,Garbage Code (GBD Level 3),
N95.0,N95.0,Garbage Code (GBD Level 3),
O08,O08.9,Garbage Code (GBD Level 3),
O17,O19,Garbage Code (GBD Level 3),
O27,O27,Garbage Code (GBD Level 3),
O37,O39,Garbage Code (GBD Level 3),
O49,O59,Garbage Code (GBD Level 3),
O78,O79,Garbage Code (GBD Level 3),
O93,O95.9,Garbage Code (GBD Level 3),
P06,P06,Garbage Code (GBD Level 3),
P16,P18,Garbage Code (GBD Level 3),
P30,P34.2,Garbage Code (GBD Level 3),
P40,P49,Garbage Code (GBD Level 3),
P62,P69,Garbage Code (GBD Level 3),
P73,P73,Garbage Code (GBD Level 3),
P79,P79,Garbage Code (GBD Level 3),
P82,P82,Garbage Code (GBD Level 3),
P85,P89,Garbage Code (GBD Level 3),
P96.9,P99.9,Garbage Code (GBD Level 3),
Q08,Q10.3,Garbage Code (GBD Level 3),
Q19,Q19,Garbage Code (GBD Level 3),
Q29,Q29.,Garbage Code (GBD Level 3),
Q36.0,Q36.9,Garbage Code (GBD Level 3),
Q46,Q49,Garbage Code (GBD Level 3),
Q88,Q88,Garbage Code (GBD Level 3),
Q89.9,Q89.9,Garbage Code (GBD Level 3),
Q94,Q94,Garbage Code (GBD Level 3),
Q99.9,R01.2,Garbage Code (GBD Level 3),
R07,R07,Garbage Code (GBD Level 3),
R07.1,R07.9,Garbage Code (GBD Level 3),
R31,R31.9,Garbage Code (GBD Level 3),
B16.9,B16.9,Garbage Code (GBD Level 4),
B64,B64,Garbage Code (GBD Level 4),
B82,B82.9,Garbage Code (GBD Level 4),
B83.9,B83.9,Garbage Code (GBD Level 4),
C69,C69,Garbage Code (GBD Level 4),
C69.9,C69.9,Garbage Code (GBD Level 4),
C91.1,C91.1,Garbage Code (GBD Level 4),
C91.4,C91.5,Garbage Code (GBD Level 4),
C91.7,C91.9,Garbage Code (GBD Level 4),
C92.7,C92.9,Garbage Code (GBD Level 4),
C93.2,C93.2,Garbage Code (GBD Level 4),
C93.5,C93.7,Garbage Code (GBD Level 4),
C93.9,C93.9,Garbage Code (GBD Level 4),
E12,E14.9,Garbage Code (GBD Level 4),
G00,G00,Garbage Code (GBD Level 4),
G00.9,G02.8,Garbage Code (GBD Level 4),
G03.9,G03.9,Garbage Code (GBD Level 4),
I37.9,I37.9,Garbage Code (GBD Level 4),
I42,I42.0,Garbage Code (GBD Level 4),
I42.9,I42.9,Garbage Code (GBD Level 4),
I51.5,I51.5,Garbage Code (GBD Level 4),
I64,I64.9,Garbage Code (GBD Level 4),
I67,I67,Garbage Code (GBD Level 4),
I67.8,I68,Garbage Code (GBD Level 4),
I68.8,I69,Garbage Code (GBD Level 4),
I69.4,I69.9,Garbage Code (GBD Level 4),
J07,J08,Garbage Code (GBD Level 4),
J15.9,J15.9,Garbage Code (GBD Level 4),
J17,J19.6,Garbage Code (GBD Level 4),
J22,J29,Garbage Code (GBD Level 4),
J64,J64.9,Garbage Code (GBD Level 4),
P23,P23,Garbage Code (GBD Level 4),
P23.5,P23.9,Garbage Code (GBD Level 4),
P37.3,P37.4,Garbage Code (GBD Level 4),
R73,R73.9,Garbage Code (GBD Level 4),
V87,V87.1,Garbage Code (GBD Level 4),
V87.4,V88.1,Garbage Code (GBD Level 4),
V88.4,V89.9,Garbage Code (GBD Level 4),
V99,V99.0,Garbage Code (GBD Level 4),
X84,X84.9,Garbage Code (GBD Level 4),
Y09,Y09.9,Garbage Code (GBD Level 4),
Y85,Y85.9,Garbage Code (GBD Level 4),
